id_aluno,mun_formacao,uf_formacao,mun_trabalho,uf_trabalho,cbo_descricao,cnae_descricao,tipo_vinculo,natureza_juridica,remun_media_nominal,tempo_emprego_meses,carga_horaria,tipo_salario,mobilidade_mun,mobilidade_uf,setor_simplificado,ano_admissao,mes_ano_admissao
58476,São Paulo,Sp,João Pessoa,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Associação Privada,1548.93,17.9,30.0,Mensal,Sim,Sim,Terceiro Setor,,NaT
56512,Bayeux,Pb,Bayeux,Pb,Recepcionista De Consultório Médico Ou Dentário,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1526.11,16.3,44.0,Mensal,Não,Não,Setor Privado,,NaT
56512,João Pessoa,Pb,Nantes,Sp,Vendedor De Comércio Varejista,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Empresário (Individual),979.96,24.5,44.0,Mensal,Sim,Sim,Setor Privado,,NaT
56545,João Pessoa,Pb,João Pessoa,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Tempo Determinado Ou Obra Certa",Sociedade Empresária Limitada,950.0,2.1,20.0,Mensal,Não,Não,Setor Privado,,NaT
56545,Olinda,Pe,João Pessoa,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1441.16,11.0,44.0,Mensal,Sim,Sim,Setor Privado,,NaT
56627,João Pessoa,Pb,João Pessoa,Pb,Técnico De Garantia Da Qualidade,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Anônima Fechada,2686.32,11.8,44.0,Mensal,Não,Não,Setor Privado,,NaT
56627,João Pessoa,Pb,João Pessoa,Pb,Gerente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Anônima Fechada,10964.77,3.0,44.0,Mensal,Não,Não,Setor Privado,,NaT
56627,João Pessoa,Pb,João Pessoa,Pb,Vendedor De Comércio Varejista,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1167.83,28.6,44.0,Mensal,Não,Não,Setor Privado,,NaT
56671,Rio De Janeiro,Rj,João Pessoa,Pb,Supervisor De Entrevistadores E Recenseadores,,"Contrato De Trabalho Por Tempo Determinado, Regido Pela Lei Nr. 8.745, De 9 De Dezembro De 1993, Com A Redação Dada Pela Lei Nr. 9.849, De 26 De Outubro De 1999",Fundação Pública De Direito Público Federal,1930.92,11.5,40.0,Outros/Não Informado,Sim,Sim,Setor Público,,NaT
56671,João Pessoa,Pb,João Pessoa,Pb,Operador De Caixa,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Anônima Fechada,877.89,0.7,44.0,Tarefa,Não,Não,Setor Privado,,NaT
